date,title,neg,neu,pos,compound
2024-04-29,Shari Redstone playing M&A war games with Paramount CEO removal,0.0,0.951,0.049,0.0772
2024-04-29,Americans to Get Additional Social Security Payment in May,0.0,0.734,0.266,0.5719
2024-04-29,A.I. Start-Ups Face a Rough Financial Reality Check,0.0,0.906,0.094,0.4215
2024-04-29,Tesla Strike Has US Unions Taking Notes,0.055,0.842,0.103,0.3182
2024-04-29,California reaches EV charging infrastructure milestone,0.0,0.935,0.065,0.1027
2024-04-29,"United flight from Sacramento to Denver diverted, plane lands safely at SFO",0.0,0.859,0.141,0.4215
2024-04-29,Furious millionaires slam developer for destroying gated private paradise island by building huge 91ft high luxury condos that will block out sun,0.202,0.798,0.0,-0.765
2024-04-29,Skydance makes 'best and final' offer for Paramount Global - Bloomberg,0.0,0.785,0.215,0.743
2024-04-29,"Redstone Family, David Ellison Seek to Appease Paramount Investors in Deal",0.0,1.0,0.0,0.0
2024-04-29,How Detroit's Downtown Became a Model for Urban Reinvention,0.0,1.0,0.0,0.0
