date,title,neg,neu,pos,compound
2024-04-15,Protestors block highway entering O'Hare Airport,0.247,0.753,0.0,-0.5563
2024-04-15,Trump stock tanks after issuing tens of millions new shares,0.0,0.891,0.109,0.296
2024-04-15,Protest outside O’Hare Airport shuts down all lanes of OB I-190,0.129,0.831,0.04,-0.5574
2024-04-15,Tesla Cybertruck Hit With Stop-Sale Because of Unintended Acceleration: Report,0.0,1.0,0.0,0.0
2024-04-15,World's busiest airport rankings for 2023,0.0,1.0,0.0,0.0
2024-04-15,Hong Kong (HK) Spot Bitcoin (BTC) ETF Applicants Claim Approval,0.0,1.0,0.0,0.0
2024-04-15,"Spot Bitcoin, Ethereum ETFs Approved in Hong Kong",0.0,0.7,0.3,0.743
2024-04-15,A major US state just achieved a critical milestone for nearly two weeks: 'It's wild that this isn't getting more news coverage',0.0,0.761,0.239,0.765
2024-04-15,The US Government Has a Microsoft Problem,0.087,0.825,0.088,0.0056
2024-04-15,"Bitcoin Price Bounces Back to $66,000 Following Weekend Crash",0.116,0.687,0.197,0.2263
