date,title,neg,neu,pos,compound
2024-04-17,"Nashua, New Hampshire, postal worker robbery: Arrest made",0.112,0.888,0.0,-0.34
2024-04-17,Largest prize in April 16 drawing,0.0,1.0,0.0,0.0
2024-04-17,Tesla Sets Up a New Showdown Over Elon Musk’s Pay,0.0,1.0,0.0,0.0
2024-04-17,'I don’t think you’re fit for this job': GA senator gives USPS chief DeJoy an ultimatum,0.037,0.875,0.088,0.34
2024-04-17,"Inflation in U.K. Slows to 3.2%, Lowest in More Than 2 Years",0.212,0.64,0.148,-0.0772
2024-04-17,ASML earnings report Q1 2024,0.091,0.788,0.12,0.1779
2024-04-17,Google employees protest company’s work with Israeli government,0.027,0.973,0.0,-0.128
2024-04-17,Stocks wobble after Powell warns that rate cuts will likely come later than expected,0.048,0.884,0.068,0.2263
2024-04-17,Stock market today: Live updates,0.21,0.682,0.108,-0.4215
2024-04-17,Justice Dept. to sue Live Nation over antitrust concerns,0.171,0.727,0.102,-0.2263
