date,title,neg,neu,pos,compound
2024-04-10,"With inflation stalling, the long-predicted storm clouds in the economy may actually be forming",0.046,0.954,0.0,-0.2732
2024-04-10,Inflation: March CPI up as Federal Reserve weighs interest rate cuts,0.102,0.898,0.0,-0.3818
2024-04-10,Delta posts strong earnings in tough quarter for US airlines,0.0,0.775,0.225,0.7506
2024-04-10,Ohio Turnpike begins new toll collection system: E-ZPass updates,0.0,0.943,0.057,0.128
2024-04-10,Nvidia Employees Get Richer With 'Special Jensen Grant' Stock Boost,0.0,0.801,0.199,0.6908
2024-04-10,Consumers will finally see FCC-mandated ‘nutrition labels’ for most broadband plans,0.0,1.0,0.0,0.0
2024-04-10,Jessica Alba Stepping Down From the Honest Company,0.0,0.78,0.22,0.7351
2024-04-10,Post Office proposes raising the price of stamps again,0.0,0.865,0.135,0.4215
2024-04-10,Lunchables should be banned from school lunch menus: watchdog,0.079,0.847,0.074,-0.0516
2024-04-10,$1.3 billion Powerball jackpot winner remains unknown,0.0,0.756,0.244,0.7964
