date,title,neg,neu,pos,compound
2024-04-23,Stock Market Today,0.0,1.0,0.0,0.0
2024-04-23,JetBlue shares tumble after airline lowers 2024 revenue outlook,0.139,0.861,0.0,-0.2732
2024-04-23,2024 Toyota Tacoma Hybrid Blows Away Every Truck In Its Segment,0.0,0.84,0.16,0.357
2024-04-23,Trump Could Pocket Over $1 Billion in Trump Media Stock This Week,0.0,0.83,0.17,0.5106
2024-04-23,Trump Is Owed an Extra $1 Billion Stake in Truth Social,0.0,0.932,0.068,0.34
2024-04-23,Change Healthcare Finally Admits It Paid Ransomware Hackers-and Still Faces a Patient Data Leak,0.0,1.0,0.0,0.0
2024-04-23,Construction to begin on high-speed rail between Las Vegas and Los Angeles,0.0,1.0,0.0,0.0
2024-04-23,"Investors Panic: $206 Million Flees Crypto Funds As Interest Rate Fears Mount, CoinShares Reports",0.0,0.913,0.087,0.2023
2024-04-23,Jury: BNSF Railway contributed to 2 deaths in Montana town,0.048,0.952,0.0,-0.0772
2024-04-23,Kaiser nurses rail against AI use in hospitals at San Francisco protest,0.295,0.705,0.0,-0.7717
