date,title,neg,neu,pos,compound
2024-04-22,Ground beef sold nationwide could be contaminated with E. coli,0.0,0.783,0.217,0.6124
2024-04-22,From basement side hustle to Rhode Island coffee startup,0.0,1.0,0.0,0.0
2024-04-22,Stratford Square Mall in Bloomingdale closes permanently,0.0,1.0,0.0,0.0
2024-04-22,How Can Elon Musk Reassure Tesla Investors?,0.115,0.885,0.0,-0.296
2024-04-22,"Copper Nears $10,000 as Investors Bet on Rising Global Demand",0.095,0.905,0.0,-0.4215
2024-04-22,Trump Media Stock Price Collapse Is Only Going to Get Worse,0.114,0.806,0.081,-0.2263
2024-04-22,Former House Speaker Nancy Pelosi Can't Stop Buying the 1 Artificial Intelligence (AI) Stock Billionaires Have Been Eager to Sell,0.096,0.792,0.112,0.128
2024-04-22,Millennials Are Ready For a Four-Day Week,0.0,0.781,0.219,0.4445
2024-04-22,How Hudson Yards Went From Ghost Town to Office Success Story,0.078,0.812,0.11,0.2533
2024-04-22,"Sam Bankman-Fried Turns Rat, Cooperates In Lawsuit Vs. FTX Celebrity Backers",0.241,0.683,0.076,-0.6808
