date,title,neg,neu,pos,compound
2024-04-25,"Biden, Seeking to Build on Fruitful Week, Will Announce Billions in Chip Grants",0.0,0.931,0.069,0.3182
2024-04-25,Ford looks to future EV breakthroughs - and smaller cars - to staunch the bleeding,0.07,0.848,0.082,0.1027
2024-04-25,Economy increased at a 1.6% rate,0.0,0.905,0.095,0.3182
2024-04-25,‘Buy Bitcoin’ Notepad Held Behind Janet Yellen Sells for $1M,0.0,1.0,0.0,0.0
2024-04-25,Bristol Myers Squibb (BMY) earnings Q1 2024,0.099,0.751,0.15,0.2732
2024-04-25,American Airlines (AAL) earnings Q1 2024,0.08,0.92,0.0,-0.1655
2024-04-25,AWS plans $11 billion Indiana investment,0.0,0.821,0.179,0.5859
2024-04-25,"Bitcoin ETFs See $120 Million Outflows, BlackRock's IBIT Ends 71-Day Inflow Streak",0.0,0.788,0.212,0.6249
2024-04-25,FTC issues refund of over $5M to Ring customers,0.0,1.0,0.0,0.0
2024-04-25,What do weight loss drugs mean for a diet industry built on eating less and exercising more?,0.115,0.726,0.159,0.5367
