date,title,neg,neu,pos,compound
2024-04-13,Small California home size of hotel room hits market for $1.7M,0.05,0.864,0.086,0.2023
2024-04-13,Delta eclipse flight from Dallas veered off path of totality,0.164,0.836,0.0,-0.4449
2024-04-13,Argentina's Javier Milei meets Elon Musk in Texas,0.0,0.873,0.127,0.5423
2024-04-13,Bitcoin Miners Diversify Their Revenue Streams as Halving Nears,0.0,1.0,0.0,0.0
2024-04-13,US drug shortages reach record high with 323 meds now in short supply,0.4,0.6,0.0,-0.7184
2024-04-13,Momofuku Says It Will No Longer Enforce ‘Chile Crunch’ Trademark,0.0,0.876,0.124,0.4019
2024-04-13,Tesla slashes price for monthly Full Self-Driving subscription,0.137,0.778,0.085,-0.1027
2024-04-13,"Argentina Tourism Slows Amid Surging Inflation, Narrower FX Gap",0.08,0.92,0.0,-0.3818
2024-04-13,Bitcoin Declines as the Liquidation of Bullish Bets Accelerate,0.0,0.865,0.135,0.5106
2024-04-13,"Crane collapse at Samsung facility near Austin, Texas",0.227,0.773,0.0,-0.5267
