date,title,neg,neu,pos,compound
2024-04-20,"Bitcoin just completed its fourth-ever 'halving,' here’s what investors need to watch now",0.0,0.938,0.062,0.1027
2024-04-20,Nvidia drops 10% as investors see risk in Big Tech shares,0.336,0.664,0.0,-0.8225
2024-04-20,Ken Griffin's Citadel rips Truth Social exec Devin Nunes in short-selling feud,0.15,0.752,0.097,-0.296
2024-04-20,California exodus of home insurance companies continues,0.119,0.811,0.07,-0.2263
2024-04-20,"Tijuana Flats sells, closes 11 restaurants and files Chap. 11",0.0,1.0,0.0,0.0
2024-04-20,Details of Jane Street's Top-Secret $1 Billion Trade Emerge in Court,0.09,0.799,0.111,0.1513
2024-04-20,"JetBlue and Southwest planes nearly miss each other at Reagan National Airport, FAA investigating",0.0,1.0,0.0,0.0
2024-04-20,San Francisco sues Oakland to stop it from changing the name of its airport,0.104,0.896,0.0,-0.2732
2024-04-20,"Super Micro Computer (SMCI) Stock Crashes 23%, Hits AI Darling Nvidia",0.14,0.566,0.294,0.4767
2024-04-20,Taco Bell bringing back fan-favorite item for its longest run next week,0.0,1.0,0.0,0.0
