date,title,neg,neu,pos,compound
2024-04-21,"Central Florida-based Tijuana Flats announces new ownership, closes some restaurants",0.0,1.0,0.0,0.0
2024-04-21,Dogecoin's 30-day low after 10% fall,0.246,0.615,0.139,-0.3818
2024-04-21,"Bitcoin Rebounds After Dropping To $59,000 Level — Path To New Peak?",0.0,1.0,0.0,0.0
2024-04-21,Trump Media CEO says he’ll do ‘whatever it takes’ to defend DJT investors from short sellers,0.15,0.85,0.0,-0.3182
2024-04-21,Taco Bell bringing back fan-favorite item with Portland-made sauce,0.0,0.865,0.135,0.4215
2024-04-21,"Tijuana Flats restaurant chain gets acquired, files Chapter 11",0.0,1.0,0.0,0.0
2024-04-21,Tesla's Stock Price Just Plunged. Is Now the Time to Invest?,0.14,0.698,0.163,0.1027
2024-04-21,Construction to begin on high-speed rail between Vegas and California,0.0,0.877,0.123,0.4215
2024-04-21,Is It Too Late to Buy Super Micro Computer Stock After It Soared 780%?,0.0,0.45,0.55,0.9042
2024-04-21,How much does the 'American dream' cost?,0.0,0.846,0.154,0.25
