date,title,neg,neu,pos,compound
2024-04-16,'Series of errors',0.0,0.859,0.141,0.5574
2024-04-16,"Bitcoin Price Slips Below $62,000 as Pre-Halving Momentum Stalls",0.123,0.727,0.15,0.1531
2024-04-16,Johnson & Johnson (JNJ) earnings Q1 2024,0.064,0.936,0.0,-0.128
2024-04-16,UnitedHealth Group (UNH) Q1 2024 earnings,0.0,1.0,0.0,0.0
2024-04-16,Wawa celebrates 60th anniversary with free coffee Tuesday,0.093,0.749,0.158,0.3574
2024-04-16,"The Social Security Cost-of-Living Adjustment (COLA) Forecast for 2025 Was Just Updated, and It May Surprise Retirees",0.11,0.638,0.252,0.4588
2024-04-16,Microsoft Invests $1.5 Billion in G42 as Top UAE AI Firm Pivots From China,0.0,0.708,0.292,0.8519
2024-04-16,Microsoft Makes High-Stakes Play in Tech Cold War With Emirati A.I. Deal,0.0,0.918,0.082,0.34
2024-04-16,'Out of left field': RenCen businesses caught off guard by GM departure,0.091,0.909,0.0,-0.4215
2024-04-16,Ticketmaster to face federal antitrust lawsuit: reports,0.062,0.81,0.128,0.6249
