date,title,neg,neu,pos,compound
2024-04-28,Logan Paul breaks silence on Prime Hydration 'forever chemicals' lawsuit,0.073,0.846,0.081,0.0516
2024-04-28,Lawsuits test Tesla claim that drivers are solely responsible for crashes,0.0,1.0,0.0,0.0
2024-04-28,Say goodbye to Ruby Tuesday and Chili’s. These are the hot new restaurants at the mall,0.086,0.914,0.0,-0.128
2024-04-28,Planet Fitness bomb threats come after anti-trans posts,0.297,0.633,0.07,-0.7783
2024-04-28,H-E-B recalls ice cream cups due to potential metal,0.099,0.901,0.0,-0.296
2024-04-28,"Swanky bus from NYC to Hamptons pampers riders with cocktails, hot towels, reclining seats",0.0,1.0,0.0,0.0
2024-04-28,How to decrease your cost of living by retiring to Europe,0.076,0.827,0.097,0.1531
2024-04-28,Advice about 401(k) rollovers is poised for a big change. Here's why,0.0,1.0,0.0,0.0
2024-04-28,A $275 Bus Ticket to the Hamptons,0.0,1.0,0.0,0.0
2024-04-28,Trouble for Indian spices in US: Health officials swoop in amid contamination allegations,0.0,1.0,0.0,0.0
