date,title,neg,neu,pos,compound
2024-04-07,"From $1,000 in savings to bringing in $25M/year",0.205,0.737,0.059,-0.655
2024-04-07,"It may not be long before Arbitrum outshines Ethereum, but only if…",0.057,0.648,0.295,0.7089
2024-04-07,Insurance Companies Reap Hidden Fees as Patients Get Unexpected Bills,0.0,0.906,0.094,0.3818
2024-04-07,What’s wrong with Tesla,0.257,0.743,0.0,-0.91
2024-04-07,California could become first state to give workers a ‘right to disconnect’,0.0,1.0,0.0,0.0
2024-04-07,Cleveland Hopkins airport plane crash and fire,0.175,0.825,0.0,-0.6249
2024-04-07,Plane crashes at Cleveland Hopkins International Airport,0.213,0.787,0.0,-0.2263
2024-04-07,Airfield reopens after planes diverted from Cleveland Hopkins International Airport for plane crash,0.095,0.905,0.0,-0.2263
2024-04-07,Is the Fed going to cut interest rates? What was once a question of ‘when’ is now less certain,0.114,0.767,0.119,0.0799
2024-04-07,Analyst makes ‘Bitcoin’s price to 10x post halving’ prediction because…,0.167,0.833,0.0,-0.4588
