date,title,neg,neu,pos,compound
2024-04-19,The Verge’s 2024 Mother’s Day gift guide,0.0,0.804,0.196,0.7269
2024-04-19,Zaslav Receives $50 Million for Leading Struggling Warner Bros. Discovery,0.186,0.814,0.0,-0.4767
2024-04-19,Bitcoin (BTC) Price Bounces as Halving Nears,0.0,1.0,0.0,0.0
2024-04-19,Oil prices get short-lived boost from attack on Iran,0.092,0.748,0.16,0.3919
2024-04-19,"'Peak Boomers' Retiring Without Pensions to Hit Economy, Social Security",0.103,0.805,0.092,0.1779
2024-04-19,"Taiwan Semiconductor Manufacturing Stock Has 21% Upside, According to 1 Wall Street Analyst",0.0,0.833,0.167,0.4215
2024-04-19,San Francisco sues Oakland over new airport name that includes ‘San Francisco’,0.0,0.899,0.101,0.4019
2024-04-19,Apple Says It Was Ordered to Pull WhatsApp From China App Store,0.105,0.895,0.0,-0.4019
2024-04-19,San Francisco sues Oakland over plans to rename airport,0.031,0.924,0.045,0.2263
2024-04-19,'Legitimizes Ethereum like never before:' All about the new Stablecoin Act,0.0,0.864,0.136,0.296
