date,title,neg,neu,pos,compound
2024-04-09,Google Cloud Next 2024: Everything announced so far,0.0,0.913,0.087,0.2716
2024-04-09,Trump’s media company loses a third of value after initial surge in trading,0.0,0.785,0.215,0.6369
2024-04-09,Norfolk Southern agrees to pay $600M in settlement over Ohio train derailment,0.06,0.754,0.185,0.7003
2024-04-09,Google announces Axion Arm-based chips for energy-efficient computing,0.0,0.925,0.075,0.1779
2024-04-09,Bitcoin boosts the market: A whopping $13.5 billion inflow in 2024,0.066,0.705,0.229,0.5719
2024-04-09,Dude Perfect Raises $100 Million from Private Equity Firm Highmount,0.0,0.727,0.273,0.7184
2024-04-09,"Multiverse, the apprenticeship unicorn, acquires Searchlight to put a focus on AI",0.0,1.0,0.0,0.0
2024-04-09,"Analyst Unveils Colossal Bitcoin Price Target As BTC Stays Close to $70,000 Before the Halving",0.0,0.873,0.127,0.4939
2024-04-09,Solana's $4.6 billion TVL: How Tensor's token debut played a role,0.0,1.0,0.0,0.0
2024-04-09,Person comes forward to claim $1.3 billion Powerball jackpot in Oregon,0.0,0.879,0.121,0.5106
