date,title,neg,neu,pos,compound
2024-04-26,Americans worry changes to retirement system will upend their plans,0.261,0.739,0.0,-0.7514
2024-04-26,Tesla Autopilot investigation closed after feds find 13 fatal crashes related to misuse,0.092,0.797,0.112,0.128
2024-04-26,FDA approves Pfizer gene therapy Beqvez for treatment of hemophilia B,0.126,0.874,0.0,-0.3818
2024-04-26,Southwest to end nonstop flight to Tampa over Boeing delivery delays,0.0,1.0,0.0,0.0
2024-04-26,"Trump advisors are considering plans to dramatically revamp the Fed, WSJ report says",0.0,1.0,0.0,0.0
2024-04-26,Rooting For Trump To Fail Has Made His Stock Shorters Millions,0.0,0.913,0.087,0.3182
2024-04-26,Sundar Pichai Shows Doubters He's Right General for Google's AI Battle,0.0,0.722,0.278,0.8271
2024-04-26,"Foxtrot employee forced to kick customers out of store as cafe chain abruptly closes all locations, laying off hundreds on a 2-hour notice",0.0,0.931,0.069,0.4215
2024-04-26,Exxon (XOM) Q1 2024 earnings report,0.253,0.651,0.096,-0.4767
2024-04-26,"Tech giant Tesla issues 3,300 layoffs in California, cutting its workforce by 10%",0.16,0.84,0.0,-0.2732
