date,title,neg,neu,pos,compound
2024-04-27,"Bitcoin under $64,000 - Watch these whales to look for reversal signs",0.151,0.849,0.0,-0.4939
2024-04-27,UAW President Shawn Fain is a rising star for the Democratic Party,0.0,0.926,0.074,0.4019
2024-04-27,Dogecoin's May 2024 price prediction,0.0,0.87,0.13,0.5574
2024-04-27,Long lines form and frustration grows as Cuba runs short of cash,0.0,0.942,0.058,0.2263
2024-04-27,"Small businesses out thousands in lost revenue following abrupt closures of Foxtrot, Dom’s Market",0.0,1.0,0.0,0.0
2024-04-27,Kaiser notifies millions of its members of a privacy data breach,0.0,0.862,0.138,0.4939
2024-04-27,New Data Reveals Bitcoin Mining May No Longer Be Profitable - Here’s Why,0.081,0.919,0.0,-0.296
2024-04-27,Why This Makes Life Hard For Miners,0.222,0.778,0.0,-0.6604
2024-04-27,Paramount Chief Executive Bob Bakish Could Be Out Next Week,0.0,1.0,0.0,0.0
2024-04-27,FDIC says Republic First Bank is closed by Pennsylvania regulators,0.0,1.0,0.0,0.0
