date,title,neg,neu,pos,compound
2024-04-18,Tesla Stock Could Hit New 52-Week Low After Downgrade On 'Thesis-Changing' Shift,0.069,0.846,0.085,0.1027
2024-04-18,Google fires 28 employees after protest over Israel cloud contract,0.189,0.811,0.0,-0.6808
2024-04-18,Google fires 28 employees involved in sit-in protest over $1.2B Israel contract,0.157,0.843,0.0,-0.6808
2024-04-18,Cramer explains what could cause the market to keep going down,0.0,1.0,0.0,0.0
2024-04-18,"Tesla is laying off 285 employees in Buffalo, New York as part of a broad restructuring",0.0,1.0,0.0,0.0
2024-04-18,"Latest Oil Prices, Market News and Analysis for April 18",0.227,0.773,0.0,-0.8442
2024-04-18,Micron Poised to Get Over $6 Billion in Chips Grants in Announcement Next Week,0.031,0.822,0.147,0.6369
2024-04-18,Colorado Bill Aims to Protect Consumer Brain Data,0.0,0.919,0.081,0.128
2024-04-18,Stock market today: Live updates,0.206,0.794,0.0,-0.3818
2024-04-18,Google employees protest company's contract with Israel,0.126,0.874,0.0,-0.5994
