date,title,neg,neu,pos,compound
2024-04-11,Stock market today: Live updates,0.0,1.0,0.0,0.0
2024-04-11,"CHP arrests 4, recovers $300,000 in Legos stolen from Target, other SoCal stores",0.326,0.674,0.0,-0.743
2024-04-11,Vertex to Buy Kidney Disease Drug Developer for $4.9 Billion,0.0,0.739,0.261,0.8008
2024-04-11,Could 99 Cents Only Stores be saved? Boss of rival dollar chain steps in to buy half the shops set to be shut,0.0,0.887,0.113,0.4215
2024-04-11,New Boeing Whistleblower Claims Certain Planes Could 'Break Apart' Midair,0.397,0.603,0.0,-0.7845
2024-04-11,US food inflation is becoming Biden's major hot potato,0.0,1.0,0.0,0.0
2024-04-11,"Bitcoin below $71,000 - Is it time to buy or sell BTC now?",0.0,1.0,0.0,0.0
2024-04-11,New Jersey Transit hikes fares 15% as congestion toll looms,0.0,1.0,0.0,0.0
2024-04-11,Why is the Chicago Pride Parade downsizing?,0.0,1.0,0.0,0.0
2024-04-11,These US Cities Benefited Most From Solar Eclipse Tourism,0.0,0.678,0.322,0.8591
